id,hscode,description,time,own
78d43d77-5cfc-4dc0-bc2b-b831bc7eba9f,85371099,"Tủ điều khiển của máy ép nhựa, dòng điện 3 pha 380V/60Hz",2023-10-20 12:42:06.956411,Dsk
cfa7262b-c181-47e4-bc42-a0e0ecd3e9d5,84573000,Bảng điều khiển máy phay gia công ( model: BM 1530M),2023-10-20 12:50:52.190911,Dsk
