hscode,mo_ta,Ngay_xac_nhan
02071499,- - - - Loại khác,26/09/2023 0:00:00
02072400,"- - Chưa chặt mảnh, tươi hoặc ướp lạnh",26/09/2023 0:00:00
02072500,"- - Chưa chặt mảnh, đông lạnh",26/09/2023 0:00:00
02072600,"- - Đã chặt mảnh và phụ phẩm sau giết mổ, tươi hoặc ướp lạnh",26/09/2023 0:00:00
02072710,- - - Gan,26/09/2023 0:00:00
02072791,- - - - Thịt đã được lọc hoặc tách khỏi xương bằng phương pháp cơ học (SEN),26/09/2023 0:00:00
02072799,- - - - Loại khác,26/09/2023 0:00:00
02074100,"- - Chưa chặt mảnh, tươi hoặc ướp lạnh",26/09/2023 0:00:00
02074200,"- - Chưa chặt mảnh, đông lạnh",26/09/2023 0:00:00
02074300,"- - Gan béo, tươi hoặc ướp lạnh",26/09/2023 0:00:00
02074400,"- - Loại khác, tươi hoặc ướp lạnh",26/09/2023 0:00:00
02074510,- - - Gan béo,26/09/2023 0:00:00
02074590,- - - Loại khác,26/09/2023 0:00:00
02075100,"- - Chưa chặt mảnh, tươi hoặc ướp lạnh",26/09/2023 0:00:00
02075200,"- - Chưa chặt mảnh, đông lạnh",26/09/2023 0:00:00
02075300,"- - Gan béo, tươi hoặc ướp lạnh",26/09/2023 0:00:00
02075400,"- - Loại khác, tươi hoặc ướp lạnh",26/09/2023 0:00:00
02075510,- - - Gan béo,26/09/2023 0:00:00
02075590,- - - Loại khác,26/09/2023 0:00:00
02076010,"- - Chưa chặt mảnh, tươi hoặc ướp lạnh",26/09/2023 0:00:00
02076020,"- - Chưa chặt mảnh, đông lạnh",26/09/2023 0:00:00
02076030,"- - Đã chặt mảnh và phụ phẩm sau giết mổ, tươi hoặc ướp lạnh",26/09/2023 0:00:00
02076040,"- - Đã chặt mảnh và phụ phẩm sau giết mổ, đông lạnh",26/09/2023 0:00:00
02081000,- Của thỏ hoặc thỏ rừng,26/09/2023 0:00:00
02083000,- Của bộ động vật linh trưởng,26/09/2023 0:00:00
02084010,"- - Của cá voi, cá heo chuột và cá heo (động vật có vú thuộc bộ Cetacea); của lợn biển và cá nược (động vật có vú thuộc bộ Sirenia)",26/09/2023 0:00:00
02084090,- - Loại khác,26/09/2023 0:00:00
02085000,- Của loài bò sát (kể cả rắn và rùa),26/09/2023 0:00:00
02086000,- Của lạc đà và họ lạc đà (Camelidae),26/09/2023 0:00:00
02089010,- - Đùi ếch,26/09/2023 0:00:00
02089090,- - Loại khác,26/09/2023 0:00:00
02091000,- Của lợn,26/09/2023 0:00:00
02099000,- Loại khác,26/09/2023 0:00:00
02101100,"- - Thịt mông đùi (hams), thịt vai và các mảnh của chúng, có xương",26/09/2023 0:00:00
02101200,- - Thịt dọi (ba chỉ) và các mảnh của chúng,26/09/2023 0:00:00
02101930,- - - Thịt lợn muối xông khói (bacon); thịt mông đùi (hams) không xương,26/09/2023 0:00:00
02101990,- - - Loại khác,26/09/2023 0:00:00
02102000,- Thịt động vật họ trâu bò,26/09/2023 0:00:00
02109100,- - Của bộ động vật linh trưởng,26/09/2023 0:00:00
02109210,"- - - Của cá voi, cá heo chuột và cá heo (động vật có vú thuộc bộ Cetacea); của lợn biển và cá nược (động vật có vú thuộc bộ Sirenia)",26/09/2023 0:00:00
02109290,- - - Loại khác,26/09/2023 0:00:00
02109300,- - Của loài bò sát (kể cả rắn và rùa),26/09/2023 0:00:00
02109910,- - - Thịt gà thái miếng đã được làm khô đông lạnh (SEN),26/09/2023 0:00:00
02109920,- - - Da lợn khô ,26/09/2023 0:00:00
02109990,- - - Loại khác,26/09/2023 0:00:00
03011110,- - - Cá bột,26/09/2023 0:00:00
03011191,- - - - Cá chép Koi (Cyprinus carpio),26/09/2023 0:00:00
03011192,- - - - Cá vàng (Carassius auratus),26/09/2023 0:00:00
03011193,- - - - Cá chọi Thái Lan (Beta splendens),26/09/2023 0:00:00
