hscode,Mô tả sản phẩm
28061000,".#&Dung dịch Axit hydrochloric 35%( HCL 35% Việt Nam) CAS 7647-01-0. Hàng mới 100% || .#&Hóa chất Hydrochloric acid (0.1N)(1l/ chai), hàng mới 100%"
28070010,".#&Hóa chất Sulfuric Acid H2SO4 95%, hàng mới 100%#&KR || .#&Hóa chất Sulfuric Acid H2SO4 95%, hàng mới 100%"
28070090,".#&Hoá chất Sulfuric acid - H2SO4 60%, hàng mới 100%#&KR || .#&VIAKING REDUCER 203: Chế phẩm làm sạch bề mặt kim loại có thành phần chính là axit sulfuric và phụ gia dạng lỏng || .#&Hoá chất Sulfuric acid - H2SO4 60%, hàng mới 100%"
28080000,".#&Hoá chất Axit nitric HNO3 68%, hàng mới 100%#&KR || .#&Hoá chất Axit nitric HNO3 68%, hàng mới 100%"
28151100,".#&Hoá chất Sodium hydroxide - NaOH 99%, dạng rắn, hàng mới 100%#&TW || .#&Hoá chất Sodium hydroxide - NaOH 99%, dạng rắn, hàng mới 100%#&CN || .#&Hoá chất Sodium hydroxide - NaOH 99%, dạng rắn, hàng mới 100%"
28151200,".#&Hoá chất Sodium hydroxide - NaOH 25%, dạng lòng, hàng mới 100%#&KR || .#&Chất thử dùng để chuẩn đoán nồng độ acid trong dung dịch hóa chất (1N SODIUM HYDROXIDE). Đóng gói 1 lít/ chai. Hàng mới 100% || .#&Hợp chất tiền xử lý bo mạch trước khi ép Bondfilm Cleaner ALK: là dung dịch Sodium hydroxide >= 15 - < 30 (dung dịch Natri Hydroxit; NaOH >= 15 - < 30%; 30kg/can) || .#&Chất thử dùng để chuẩn đoán nồng nộ acid trong dung dịch hóa chất (0.1N SODIUM HYDROXIDE ). Đóng gói 1 lít/ chai. Hàng mới 100% || .#&Hoá chất Sodium hydroxide - NaOH 25%, dạng lòng, hàng mới 100% || .#&Hóa chất Sodium hydroxide standard Solution 1N (1lít/chai), hàng mới 100%"
28255000,"NL172#&Đồng oxit dạng bột dùng làm bản mạch PCB, Copper II oxide quy cách 200kg/thùng. Hàng mới 100%"
28291100,".#&Hóa chất chất mạ đồng IS-792 ET2( dung dịch Natri clorat )(TP: Natri clorat :15-25%,Nước : 75-85%).Hàng mới 100%"
28323000,".#&Dung dịch Sodium thiosulfate- Na2S2O3 0.1M(1l/ chai), hàng mới 100% || .#&Hóa chất Sodium thiosulffate(500g/ chai), hàng mới 100%"
28332500,"NL260#&Đồng Sunfat dạng bột dùng làm bản mạch PCB, quy cách đóng gói 20kg/bao, hàng mới 100%"
28332990,".#&Hóa chất Iron II Sulfate-FeSO4.7H2O 99%, hàng mới 100%#&CN || .#&Hóa chất Iron II Sulfate-FeSO4.7H2O 99%, hàng mới 100%"
28334000,".#&Hóa chất xử lý bề mặt Sodium persulfate - Na2S2O8, thành phần Na2S2O8 99%. Hàng mới 100%"
